Edge,Count
74919,6
74959,6
74975,6
74981,6
74995,6
75029,6
75094,6
75123,6
75131,6
75130,6
75134,6
75133,6
31925,2
31912,5
6370,4
22548,2
23378,2
23515,6
23579,5
34003,3
69157,1
68904,1
68522,1
68151,1
68088,1
9179,1
9180,1
75749,10
75739,10
22874,10
22149,10
20850,10
50049,5
51087,1
32428,3
28130,8
29005,3
29006,2
19173,4
19180,4
19135,1
19108,1
19023,1
18752,1
18642,1
18552,1
28477,4
2195,6
27794,2
27904,2
27916,2
27921,2
27956,2
28008,2
28378,2
33174,6
33185,6
33202,6
33147,9
33260,10
33273,10
33272,9
33319,10
33355,10
33385,10
33402,10
33468,10
33516,9
38232,3
37855,3
37722,3
37344,3
37125,3
36997,3
42723,4
43581,6
44477,6
76014,6
44779,6
27181,2
27315,2
27439,1
27589,1
23719,13
23739,13
24315,13
24395,13
33591,1
23833,3
23836,1
17593,7
17615,7
75655,7
17665,7
17756,7
17931,7
18480,8
18491,8
18499,8
18505,8
35663,2
34453,2
33794,2
33730,2
33539,2
33521,2
33494,2
76200,3
33107,3
26855,3
26856,3
26750,3
226,6
227,6
228,6
232,6
233,6
26236,1
28332,1
19726,1
20428,1
20995,1
21116,4
21884,5
22074,4
22704,4
23507,4
23540,4
23565,5
76187,12
28101,12
76061,6
53513,6
53410,2
53402,2
54726,2
55243,2
22617,9
20603,9
19457,9
19485,9
19500,9
19501,10
19472,10
18815,10
18477,8
19300,8
18877,11
26447,1
26363,1
26245,1
26211,1
26181,1
26223,1
26228,1
29770,2
29532,2
9282,1
10321,2
31118,2
12327,1
43239,1
21130,3
21174,3
21431,3
21432,3
21395,3
32287,6
10381,6
14297,13
14298,13
14220,13
8136,2
8117,2
29514,1
29459,1
29405,1
29379,1
29301,1
29243,1
29221,1
29140,1
29084,1
29039,1
29026,1
28992,1
28971,1
28933,1
28922,1
28898,1
28904,1
28908,1
28895,1
28644,1
28605,1
28597,1
28596,1
28584,1
28517,1
28210,1
28165,1
28035,1
27753,1
27375,1
75804,1
75797,3
75779,3
11714,4
11713,4
11719,4
12227,4
17403,4
17394,4
17337,4
7494,5
7349,6
7108,5
6961,3
75452,3
26218,1
11061,15
11605,15
11736,15
12134,15
12268,15
12402,15
12482,15
12517,15
12768,15
12842,15
61160,2
17476,1
17274,1
17264,1
17613,1
17628,2
17627,2
17612,1
17231,1
17199,1
17143,1
17113,1
17090,1
17095,1
17094,1
16776,1
16716,1
16691,1
16616,1
16273,1
35265,18
35267,18
31138,1
31159,1
31349,1
31227,1
26657,1
27014,1
28025,1
28478,1
35618,4
35340,4
35077,4
34878,4
34729,4
34508,4
34467,4
34452,4
34439,4
28198,1
28246,1
28274,1
28314,1
28319,1
28886,1
75831,1
28968,1
29795,1
29800,1
29798,1
29765,1
29686,1
29539,1
29564,1
75845,1
30071,1
36108,4
36995,3
75984,3
37555,3
38056,3
38297,3
46188,2
46240,2
36407,1
75982,1
36244,1
35333,1
69408,1
69706,1
69707,1
70984,1
31590,2
31655,2
31765,2
31930,2
34525,29
75537,5
22533,1
22608,1
22730,1
22795,1
22888,1
37008,1
34714,1
34312,1
9079,2
32736,7
32730,10
32722,10
32415,10
32138,5
31542,6
31424,5
31412,6
31301,6
48150,1
29603,3
29945,3
29944,3
13110,1
13067,1
12909,1
12300,1
16183,3
16151,3
16131,3
16162,3
17270,3
17271,1
17128,1
17014,1
16928,1
17550,1
17560,1
17561,2
17554,2
17036,2
75644,2
16942,2
16903,2
16580,2
16590,1
17180,1
17844,1
17898,1
17918,1
18150,1
18210,1
18790,1
18817,1
19819,2
21115,1
22024,1
22164,1
22165,1
22134,1
76013,1
44368,1
76223,1
43323,1
42703,1
17263,2
17025,1
13437,3
13449,1
13548,1
27066,1
27085,1
27098,1
27097,1
27215,1
28708,1
28783,1
19815,10
20124,1
75698,1
20448,1
20684,1
20635,1
20664,1
21907,1
22385,1
23376,1
23397,1
23941,1
24229,1
21862,3
21883,3
21852,3
22001,3
22085,3
48869,17
15909,4
47002,1
46536,1
46014,1
45461,1
45370,1
45354,1
45313,1
45291,1
46062,1
46551,1
47282,1
47379,1
47531,1
47718,1
47717,1
47481,1
47267,2
38686,1
40072,1
40092,1
40914,1
40955,1
41556,1
41659,1
42307,1
42484,1
42507,1
42532,1
42832,1
43561,1
43678,1
44210,1
29799,2
29820,2
29893,1
30422,1
32055,2
10352,7
10364,7
10545,7
10622,7
10744,13
10754,12
10827,12
10985,12
25433,6
25401,7
25368,7
25314,7
24813,7
24786,5
24761,4
24783,7
25360,4
25374,4
76184,6
76185,6
16167,5
75591,5
15791,5
71468,1
71465,1
71645,1
71951,1
72029,1
72051,1
28107,6
42671,6
42725,6
42893,6
42922,6
43955,8
33423,7
75934,7
32151,7
31892,7
31668,9
31431,7
31249,4
10382,2
24880,1
24821,2
24768,1
23852,1
23888,1
23889,2
25060,1
26022,1
26054,1
26089,1
26166,1
