Node,Farness_weighted
51449,16131
51941,16131
137601,16131
137602,16131
51945,16131
137492,16131
137610,16131
137550,16131
137665,16131
137705,16131
137455,16131
137401,16131
137357,16131
137317,16131
137295,16131
51461,16131
51955,16131
137186,16131
137233,16131
137662,16131
137704,16131
137450,16131
137618,16131
137554,16131
137396,16131
137500,16131
137360,16131
137314,16131
137293,16131
52349,16131
137215,16131
51963,16131
137111,16131
137060,16131
137558,16131
137614,16131
137484,16131
137718,16131
137680,16131
137291,16131
137447,16131
137351,16131
137389,16131
137746,16131
137309,16131
137770,16131
137445,16131
137486,16131
137562,16131
137684,16131
137114,16131
137605,16131
11243,16131
137653,16131
137599,16131
137566,16131
52335,16131
51953,16131
51463,16131
137059,16131
52212,16131
51988,16131
52344,16131
51959,16131
51469,16131
137097,16131
136546,16131
137224,16131
137699,16131
52311,16131
51695,16131
51975,16131
51698,16131
51452,16131
50145,16131
51201,16131
51688,16131
51451,16131
51848,16131
41546,16131
51453,16131
51608,16131
37439,16131
40028,16131
51926,16131
41128,16131
40039,16131
41095,16131
136894,16131
136545,16131
51662,16131
51221,16131
13919,16131
136531,16131
136506,16131
136505,16131
136584,16131
136475,16131
50149,16131
136476,16131
136478,16131
136509,16131
136610,16131
147313,16131
147314,16131
136510,16131
136704,16131
11244,16131
21823,16131
139576,16131
138932,16131
140504,16131
136622,16131
46902,16131
136557,16131
46923,16131
50157,16131
136824,16131
136792,16131
136515,16131
136773,16131
144358,16131
46739,0
46740,0
136516,16131
12913,16131
137250,16131
45483,16131
136677,16131
42177,16131
44821,16131
148527,16131
148528,16131
15806,16131
45727,16131
44428,16131
41805,16131
132449,16131
140571,16131
140572,16131
41436,16131
148841,16131
40152,16131
41419,16131
62574,16131
57713,16131
18668,16131
38937,16131
44423,16131
46878,16131
6709,16131
6710,16131
41450,16131
41882,16131
42794,16131
138800,16131
37429,16131
38939,16131
39840,16131
137287,16131
137288,16131
42652,16131
44140,16131
25833,16131
138394,16131
44035,16131
44723,16131
36045,16131
36046,16131
43804,16131
42651,16131
42653,16131
39723,16131
41244,16131
43878,16131
43720,16131
36482,16131
36477,16131
36770,16131
36769,16131
76842,16131
43634,16131
138408,16131
138802,16131
38995,16131
39725,16131
36476,16131
36048,16131
37424,16131
38992,16131
36050,16131
36773,16131
138454,16131
42750,16131
138502,16131
138424,16131
39729,16131
45128,16131
46762,16131
37426,16131
36779,16131
38988,16131
36051,16131
45126,16131
36054,16131
44729,16131
138527,16131
39965,16131
39962,16131
70940,16131
71068,16131
37446,16131
37872,16131
37875,16131
38020,16131
39960,16131
38023,16131
38190,16131
38191,16131
38376,16131
39622,16131
39733,16131
39438,16131
39604,16131
39206,16131
39432,16131
38379,16131
38726,16131
39100,16131
39198,16131
39084,16131
38822,16131
38986,16131
38824,16131
38727,16131
41703,16131
45844,16131
46728,16131
41108,16131
41682,16131
40103,16131
40102,16131
38731,16131
38385,16131
41729,16131
41907,16131
45845,16131
44731,16131
46684,16131
32654,16131
31595,16131
35711,16131
41305,16131
38609,16131
38737,16131
38613,16131
38391,16131
40789,16131
40790,16131
41515,16131
42555,16131
40592,16131
36783,16131
37074,16131
36056,16131
37084,16131
37450,16131
46526,16131
46492,16131
40591,16131
46478,16131
40760,16131
