Node,Indegree,Outdegree
68341,4,4
68340,5,5
68343,13,13
68345,8,8
68347,29,29
2811,13,13
35581,34,25
68355,2,2
2820,13,12
35588,1,1
35595,4,4
2830,7,7
68367,83,84
35603,2,2
68371,1,1
68372,1,1
68380,6,6
2845,10,10
68382,104,103
68386,8,8
35619,19,19
101157,5,5
35622,20,20
2854,10,10
35625,34,34
101161,8,8
2864,5,5
35632,1,1
35636,28,28
35638,2,2
133943,8,8
35640,1,1
35642,2,2
68411,8,8
68416,2,4
35649,4,4
68419,37,87
35654,26,26
68423,11,11
68427,10,10
133966,2,2
35664,2,2
68435,2,6
101205,2,2
68440,12,12
35672,2,2
68442,3,3
35675,40,40
2919,89,25
35688,2,2
35689,42,38
68458,1,1
2923,6,6
68463,16,11
101232,17,17
68470,3,3
2935,26,26
35705,19,19
68476,7,7
2941,22,22
2944,19,22
35714,1,1
2947,22,22
68490,1,1
35728,32,32
68496,8,8
35729,51,51
68500,8,8
35732,1,1
68504,3,3
68508,62,68
35745,20,20
2977,22,22
35757,15,15
35758,15,15
68528,4,2
35762,11,11
35763,11,11
35765,7,7
35767,12,12
35771,24,23
35774,24,24
35775,1,1
35779,23,23
35782,10,10
35787,40,40
3022,12,12
68562,46,46
35796,12,12
68565,67,67
35799,37,37
35801,1,1
68570,3,3
68574,9,13
3040,0,3
35809,61,61
35813,22,22
68590,66,66
101364,17,17
35828,0,2
3063,3,3
35831,1,1
68600,2,0
134138,5,6
3067,22,22
35836,22,22
35840,1,1
68609,4,4
35844,24,24
68616,1,1
35851,37,37
3084,14,14
68619,41,41
68623,5,6
35857,34,34
68628,1,1
35862,8,8
101403,4,4
68636,1,1
3101,14,14
3106,33,33
68645,6,6
35878,10,10
101417,1,1
68650,1,1
68654,0,2
35887,1,1
101424,17,17
35891,6,6
68662,1,1
35900,16,16
101437,16,15
35901,7,7
35903,20,20
3135,89,89
68670,6,6
68678,109,67
68682,1,1
35921,6,6
68695,12,12
68696,7,7
35936,37,37
35939,150,150
35947,1,1
68721,6,6
3187,1,1
